svfn,ar,staerd,leiguverd,kaupverd,fasteignamat
2510,2018,100-109,160000,19750000,15725
2510,2018,110-150,195000,20500000,13650
2510,2019,70-79,160000,21450000,18925
2510,2019,80-89,170000,17500000,13950
2510,2019,90-99,147000,24000000,16950
2510,2019,100-109,172500,25000000,19650
2510,2019,110-150,140000,28000000,18450
2510,2020,80-89,170000,23450000,20500
2510,2020,90-99,147500,23900000,25150
2510,2020,100-109,190000,21500000,24500
2510,2020,110-150,206250,29650000,24275
2510,2021,70-79,155000,23500000,17950
2510,2021,80-89,176000,26000000,21450
2510,2021,90-99,150500,29000000,20050
2510,2021,100-109,190000,22500000,25300
2510,2021,110-150,205000,26450000,25000
2510,2022,70-79,163000,26500000,19850
3000,2011,50-59,75000,13629000,12150
3000,2011,60-69,80000,14722000,13400
3000,2011,70-79,75000,13500000,11750
3000,2011,80-89,98000,17300000,15650
3000,2011,90-99,95000,18361000,17100
3000,2011,100-109,98000,18000000,13250
3000,2011,110-150,112500,15542000,14525
3000,2012,70-79,90000,12057000,12350
3000,2012,80-89,95000,7290000,11275
3000,2012,90-99,95000,14137000,13100
3000,2012,100-109,107500,22600000,18900
3000,2012,110-150,118152,18195000,16600
3000,2013,50-59,79000,10000000,9030
3000,2013,60-69,85000,12144500,11625
3000,2013,70-79,100000,15700000,15050
3000,2013,80-89,100000,17490000,11950
3000,2013,90-99,100000,18646500,16900
3000,2013,100-109,107500,21750000,18525
3000,2013,110-150,120000,19000000,16900
